t,x0,x1
1,0.841472,0.540301
1.0025,0.84282,0.538196
1.005,0.844163,0.536087
1.0075,0.8455,0.533975
1.01,0.846832,0.53186
1.0125,0.848159,0.529741
1.015,0.849481,0.527619
1.0175,0.850798,0.525494
1.02,0.852109,0.523365
1.0225,0.853414,0.521233
1.025,0.854715,0.519098
1.0275,0.85601,0.51696
1.03,0.8573,0.514818
1.0325,0.858584,0.512673
1.035,0.859863,0.510525
1.0375,0.861137,0.508374
1.04,0.862405,0.506219
1.0425,0.863668,0.504062
1.045,0.864925,0.501901
1.0475,0.866177,0.499737
1.05,0.867424,0.49757
1.0525,0.868665,0.4954
1.055,0.869901,0.493227
1.0575,0.871131,0.49105
1.06,0.872356,0.488871
1.0625,0.873575,0.486689
1.065,0.874789,0.484503
1.0675,0.875998,0.482315
1.07,0.877201,0.480123
1.0725,0.878399,0.477929
1.075,0.879591,0.475731
1.0775,0.880777,0.473531
1.08,0.881958,0.471327
1.0825,0.883134,0.469121
1.085,0.884304,0.466912
1.0875,0.885468,0.464699
1.09,0.886627,0.462484
1.0925,0.887781,0.460266
1.095,0.888929,0.458045
1.0975,0.890071,0.455822
1.1,0.891208,0.453595
1.1025,0.892339,0.451366
1.105,0.893465,0.449133
1.1075,0.894585,0.446898
1.11,0.895699,0.44466
1.1125,0.896808,0.44242
1.115,0.897911,0.440176
1.1175,0.899009,0.43793
1.12,0.900101,0.435681
1.1225,0.901187,0.43343
1.125,0.902268,0.431175
1.1275,0.903343,0.428918
1.13,0.904413,0.426659
1.1325,0.905477,0.424396
1.135,0.906535,0.422131
1.1375,0.907587,0.419864
1.14,0.908634,0.417593
1.1425,0.909675,0.415321
1.145,0.910711,0.413045
1.1475,0.91174,0.410767
1.15,0.912764,0.408486
1.1525,0.913783,0.406203
1.155,0.914795,0.403917
1.1575,0.915802,0.401629
1.16,0.916804,0.399338
1.1625,0.917799,0.397045
1.165,0.918789,0.394749
1.1675,0.919773,0.392451
1.17,0.920751,0.390151
1.1725,0.921724,0.387847
1.175,0.92269,0.385542
1.1775,0.923651,0.383234
1.18,0.924606,0.380924
1.1825,0.925556,0.378611
1.185,0.9265,0.376296
1.1875,0.927437,0.373978
1.19,0.928369,0.371659
1.1925,0.929296,0.369337
1.195,0.930216,0.367012
1.1975,0.931131,0.364686
1.2,0.93204,0.362357
1.2025,0.932943,0.360025
1.205,0.93384,0.357692
1.2075,0.934731,0.355356
1.21,0.935616,0.353018
1.2125,0.936496,0.350678
1.215,0.93737,0.348336
1.2175,0.938238,0.345991
1.22,0.9391,0.343645
1.2225,0.939956,0.341296
1.225,0.940806,0.338945
1.2275,0.941651,0.336592
1.23,0.942489,0.334237
1.2325,0.943322,0.331879
1.235,0.944149,0.32952
1.2375,0.944969,0.327159
1.24,0.945784,0.324795
1.2425,0.946593,0.32243
1.245,0.947397,0.320062
1.2475,0.948194,0.317693
1.25,0.948985,0.315321
1.2525,0.94977,0.312948
1.255,0.95055,0.310572
1.2575,0.951323,0.308195
1.26,0.952091,0.305816
1.2625,0.952852,0.303434
1.265,0.953608,0.301051
1.2675,0.954358,0.298666
1.27,0.955101,0.29628
1.2725,0.955839,0.293891
1.275,0.956571,0.2915
1.2775,0.957296,0.289108
1.28,0.958016,0.286714
1.2825,0.95873,0.284318
1.285,0.959438,0.28192
1.2875,0.96014,0.279521
1.29,0.960835,0.27712
1.2925,0.961525,0.274717
1.295,0.962209,0.272312
1.2975,0.962887,0.269906
1.3,0.963559,0.267498
1.3025,0.964224,0.265088
1.305,0.964884,0.262676
1.3075,0.965538,0.260263
1.31,0.966185,0.257849
1.3125,0.966827,0.255432
1.315,0.967462,0.253015
1.3175,0.968092,0.250595
1.32,0.968715,0.248174
1.3225,0.969333,0.245752
1.325,0.969944,0.243327
1.3275,0.970549,0.240902
1.33,0.971149,0.238475
1.3325,0.971742,0.236046
1.335,0.972329,0.233616
1.3375,0.97291,0.231184
1.34,0.973485,0.228751
1.3425,0.974054,0.226317
1.345,0.974616,0.223881
1.3475,0.975173,0.221444
1.35,0.975724,0.219005
1.3525,0.976268,0.216565
1.355,0.976806,0.214124
1.3575,0.977339,0.211681
1.36,0.977865,0.209237
1.3625,0.978385,0.206792
1.365,0.978899,0.204345
1.3675,0.979407,0.201897
1.37,0.979908,0.199448
1.3725,0.980404,0.196998
1.375,0.980893,0.194546
1.3775,0.981377,0.192093
1.38,0.981854,0.189639
1.3825,0.982325,0.187184
1.385,0.98279,0.184728
1.3875,0.983248,0.18227
1.39,0.983701,0.179812
1.3925,0.984148,0.177352
1.395,0.984588,0.174891
1.3975,0.985022,0.172429
1.4,0.98545,0.169966
1.4025,0.985872,0.167502
1.405,0.986287,0.165036
1.4075,0.986697,0.16257
